리메이크	서진혁	판타지	남자	10443.63.18 .30
병사	성율	판타지	남자	1839912.1051.127 .40
검공바이에른	폭염술사	판타지	같음	1.0.0 .10
현대생활백서	건드리고고	현대판타지	남자	672824.2544.16 .40
별잡이꾼	최운	판타지	같음	681.3.8 .10
빛나는자	원도정	판타지	남자	7922.64.33 .30
벤젠스	철값상어	판타지	남자	3000.19.17 .20
혈화만개통천하	서광	무협	남자	45085.192.24 .50
에네트헤센느	훼스타	판타지	여자	68505.44.139 .50
에우로페	퀀텀피직스	판타지 퓨전	남자	3103.21.15 .30
광독남아	이강(二强)	무협	같음	1.0.0 .10
춤추는히네아꽃	버터베어	판타지	남자	17473.263.62 .20
진령도	mingji	판타지 무협	남자	1367522.6719.1 .40
회귀미르	천향일필	무협	남자	16283.31.16 .40
경영의대가	니콜로	판타지	남자	834812.10384.13 .40
마정록	장담(張譚)	무협	남자	205732.582.7 .50
대한민국	유호	퓨전	남자	347049.20.2 .40
질풍무적행	김태현	무협	남자	280455.41.4 .50
멸제의카휀	sengbin	판타지	남자	72238.307.33 .40
MentalLooker	Adun	판타지	남자	139654.217.185 .50
몬스터죽이기	과니	현대판타지	남자	27051.682.15 .40
가디스가드	까리타암초	판타지	남자	127964.5.1 .30
칼끝에발끝	조모	판타지	여자	9726.118.39 .20
인연살해	구선달	판타지	남자	326110.7988.95 .20
아이린	理本	판타지	남자	72982.279.54 .40
소년황	유메미루	판타지	남자	52870.253.56 .20
그리드	죽이는농담	게임	남자	98961.661.47 .40
킬러클럽	꼬마유령	판타지	남자	18725.331.70 .30
카모밀레	정해인	판타지	남자	16184.163.31 .50
레드하트	시르디아	판타지	남자	0.0.0 .30
적룡무강	美公	무협	남자	751749.2098.0 .40
망상공자	카레왕	무협	남자	2611.8.3 .30
가이아개발기	최가네	퓨전	남자	79587.207.9 .40
악당의영지	가휼	판타지 퓨전	남자	5666.24.1 .20
심안의제왕	청하(淸河)	퓨전	남자	573498.2229.10 .40
무적문주	[눈매]	무협	남자	164319.320.7 .50
붉은하늘	아스라인	판타지	남자	157941.1564.80 .30
선풍운사일	박선우	무협	남자	950520.11988.192 .50
암천제	장담(張譚)	무협	남자	371077.61.8 .50
마왕보의후인	구란	무협	남자	269503.1415.131 .50
견왕지로	묵호(墨湖)	무협	남자	1698442.114.128 .50
ARENA	권순형	게임	남자	11598.169.24 .50
초능력주식회사	최항기	일반소설	남자	72265.488.65 .50
Halfway	Drexel	현대판타지 공포·미스테리	남자	1943.14.17 .20
코크마스터	캣츠아이	판타지	남자	11983.7.4 .20
낭인무사	묵검默劍	무협	남자	19146.33.1 .30
서리나비	밀가루백작	판타지	남자	4999.28.24 .30
루베니스	서광	판타지	남자	35489.35.41 .50
해연국이야기	하얀소금	퓨전	남자	174463.2405.42 .30
몰락무당(출간삭제)	성불예정	무협 드라마	남자	48051.1542.3 .30
구룡천하	도검	무협	남자	202830.38.11 .50
패천혈류검	월적란	무협	남자	254251.729.57 .50
이게간지다	김기범	게임	같음	674.0.0 .10
그랑크뤼	신가	현대판타지 퓨전	남자	6626.31.4 .50
신장의검심	Mr.Song.	판타지	남자	6959.28.6 .20
똑바로살아라	일월광천	현대판타지	남자	138593.378.10 .20
투신록	흙마왕	판타지	남자	50611.67.25 .40
문명격돌	워리도꾸	SF 판타지	남자	198774.2222.74 .40
레니샤드	부성	퓨전	남자	409203.1238.145 .30
마제이계강림기	박새날	퓨전	남자	87529.212.7 .10
춤추는세계	두드리자	퓨전	남자	24196.207.68 .30
마제이계강림기	박새날	퓨전	남자	87529.212.7 .10
행복을원하십니까?	휘환	판타지	남자	11291.100.44 .30
언터쳐블	발도	현대판타지	남자	177163.362.6 .40
황금영주	휘선(輝敾)	퓨전	남자	677687.3002.25 .50
인류의적히어로	사신의연주	퓨전	남자	220685.2979.124 .20
신기루를찍다	이카루이엘	로맨스	남자	4184.33.27 .30
스페셜원	귀수(鬼手)	판타지	남자	79237.283.3 .40
L.라그나뢰크	마스MaS	퓨전	남자	35291.229.42 .30
검황무적	해와별	퓨전	남자	92123.447.31 .40
물을나르는용	캐모마일	판타지	여자	36259.416.37 .30
착한남자	달뿌리풀	현대판타지	남자	869.6.3 .30
공작아들	박새날	판타지	남자	284148.100.9 .10
물을나르는용	캐모마일	판타지	여자	36259.416.37 .30
마제뇌우	문용신	무협	남자	101161.21.9 .30
야수왕	화풍객	무협	남자	383681.1832.28 .50
죽음의방관자	휘렌	판타지	남자	9020.115.33 .30
황제의탄생	Zvezda	판타지	남자	51510.322.51 .50
빙마전설	요도	무협	남자	425695.105.17 .10
HerooftheDay	페이트노트	판타지 라이트노벨	남자	2525499.17418.130 .20
라이프스타일	김기범	게임	남자	6489.123.5 .20
투신쟁패	초혼(草魂)	무협	남자	992972.7892.53 .50
환우제일인	김중완	무협	남자	372564.1438.32 .50
BUTTERFLYDREAMS	고래거북이	로맨스	남자	40819.3289.78 .30
재삼재검왕	비룡독마제	무협	남자	50178.166.16 .50
펜타곤	카마릴라	현대판타지	남자	115504.4548.84 .40
펜타곤	카마릴라	현대판타지	남자	115504.4548.84 .40
거미상자	반성	게임	남자	22261.536.57 .30
어겐스트	네페쉬	판타지	남자	19632.364.25 .20
더게스트	마스MaS	퓨전	남자	114802.786.52 .30
인형들의왕	천보행자	무협	남자	4504.92.8 .30
트루온라인	현의顯懿	게임	남자	99162.743.36 .10
루인영지	총관	판타지	남자	37600.11.1 .40
심검지	김대산	무협	남자	123947.543.11 .50
자해	두릅	현대판타지	남자	1336.41.2 .10
학사무신록	휘(煇)	무협	남자	864078.33707.33 .40
고금제일인	담현	무협	남자	162660.311.5 .30
크림슨썬더	이그니시스	판타지	남자	76408.401.0 .20
심검지	김대산	무협	남자	123947.543.11 .50
서브라임	카이첼	판타지	남자	1227103.2108.118 .20
월백	담하(澹霞)	무협	남자	725824.362.20 .50
테라오딧세이	.프리스트.	퓨전	남자	1329134.8694.33 .30
선절대영웅검	행호사	무협	남자	2099773.12327.250 .50
청운적하검[E]	묘재(妙才)	무협	남자	9669.166.21 .50
서울아레스	진필명	현대판타지	남자	867830.3897.2 .50
마나의여신	이디네	판타지	남자	12544.140.31 .10
천검제	장담(張譚)	무협	남자	51164.119.4 .50
네크로맨서의소환수	규(奎)	게임	남자	928.17.4 .10
냉혈자	조철봉	무협	남자	174380.1338.26 .50
매화검수	북미혼	무협	남자	201712.245.1 .50
신의영역	단보리	퓨전	같음	8692.22.0 .10
불사의괴	황대산	무협	남자	65821.140.4 .40
웨스턴판타지	건들지맛	라이트노벨	남자	20246.207.39 .30
매화검수	북미혼	무협	남자	201712.245.1 .50
뉴웨이브창작실	셸먼	라이트노벨	남자	37288.305.58 .20
제노사이더	검마르	현대판타지	남자	589535.3039.5 .40
초신성그녀	셀링	일반소설	남자	14323.273.42 .30
강호윤회	두밥	무협	남자	400108.2393.99 .50
태극마경(출간삭제)	고우故友	무협	남자	292084.772.9 .50
덕범전	큰끝	판타지	남자	474528.3021.160 .30
레이니도닝	하밀	게임	남자	80292.209.39 .20
웨이버	[ing]	게임	남자	4934.13.3 .30
몽상가	김대산	퓨전	같음	7541.7.0 .10
검선	박상준1	무협	남자	85485.469.42 .50
삼국지함분축원	기억하나	일반소설	남자	1128339.7967.110 .30
검선	박상준1	무협	남자	85485.469.42 .50
황혼의기사	효시(嚆矢)	판타지	남자	21996.86.12 .30
칼라투시아	한승혁	판타지	남자	25804.168.69 .40
청세빛	광천광야	판타지	남자	63204.160.49 .30
발키리의기사	제르니오	판타지 SF	남자	302651.3521.330 .20
빛의균형자	빛의균형자	판타지	남자	170715.2204.334 .20
마담티아라	Minato	판타지 드라마	남자	1441749.10566.12 .20
디아만트스펠	유세영	판타지	남자	189501.672.6 .20
정협지로	청향비	무협	남자	763138.5530.90 .50
천년의기사단	전정현	판타지	남자	109717.241.1 .30
암야의추격자	첨미(添美)	현대판타지	남자	45320.671.80 .20
초월자	핸리댄리	판타지	남자	22133.278.33 .10
엘프의기념비	S.W.청명	판타지	남자	14627.224.0 .20
나찰의탈	마나풀	판타지	남자	17233.234.52 .30
키메라신드롬	자현이	현대판타지	남자	38108.243.39 .30
무림흑호	운산자	무협	남자	27172.73.17 .50
Dejavu	Cyberego	판타지	남자	4161.58.14 .30
지구를침식하는자와낙원...	찬트	현대판타지	남자	13011.74.42 .40
귀령술사	한비화	게임	남자	17117.5.1 .20
십이지세계	돌조각	일반소설	남자	915.9.8 .30
CRUSADE	dippen	판타지	남자	8206.148.30 .30
임모탈	투람바르	판타지	남자	21312.176.68 .30
린덴개리슨	알시노어	판타지	남자	16117.113.61 .30
이계밀덕전	향날	퓨전	남자	14283.95.19 .30
셀렉트	푸를청	라이트노벨	남자	17513.99.41 .20
신방랑기	석고우	무협	남자	0.0.0 .50
신방랑기	석고우	무협	남자	0.0.0 .50
여제의기사	MrCan	판타지	남자	51357.241.118 .30
멋지게살자!	장취산	현대판타지	남자	771228.5167.32 .50
고검환정록	직하인	무협	남자	6864159.41590.42 .50
Spectator	약먹은인삼	퓨전 게임	남자	6854660.83586.327 .20
블러드리스	니바스	판타지	남자	5745.88.30 .30
만추지가	지유운	무협	남자	706927.2052.124 .50
하수구정령사	고샅	판타지	남자	334225.1720.34 .40
하수구정령사	고샅	판타지	남자	334225.1720.34 .40
Messiah	서이안	퓨전	남자	5266.90.22 .30
혁명과대의	최고사령관	판타지 전쟁·밀리터리	남자	84159.705.56 .20
엔쿠라스	색향	판타지	남자	1524097.11169.665 .30
Destruction	에카마엘	SF	남자	28083.77.0 .40
풍신쾌	퍼시픽	무협	남자	261300.1027.4 .40
혁명과대의	최고사령관	판타지 전쟁·밀리터리	남자	84159.705.56 .20
아나나스	썰매견	게임	남자	53620.308.55 .30
시간의발자국	김수	판타지	남자	202198.4805.83 .30
주유강호	影野	무협	남자	235749.1697.65 .50
도플레안	atnasers	판타지	남자	34771.316.175 .40
하얀기사이야기	d3884	판타지	남자	611018.8444.270 .20
불멸의대마법사	이성현	판타지	남자	1080448.3659.30 .50
소월기	[달꽃]	무협	남자	668833.6385.94 .50
쉐도우월드	꿈속날다	판타지	남자	46765.179.7 .20
분노의시대	개쫑이아빠	현대판타지	남자	179669.3084.67 .30
아약의서재	아약	중·단편	남자	3997.49.6 .20
리메전1	폭렬천사	게임 SF	남자	141579.1065.66 .30
이계생존귀환계획	이그니시스	퓨전	남자	109918.539.22 .40
대소환사바드	달의눈	판타지	남자	49212.183.79 .30
선마검카벨	현설	판타지 퓨전	남자	17964.291.168 .40
황금의잉카제국	江山	판타지	남자	52099.99.25 .50
아키블레이드	휘긴	판타지	남자	168669.768.45 .30
나이트호크	프로즌	판타지	남자	60579.27.1 .30
안겔루스	반야(F.F)	판타지	남자	128520.114.52 .50
두개의태양	유호	현대판타지	남자	111866.8.2 .50
화접지몽	최대장	무협	남자	230794.212.53 .50
바람노래	하밀	판타지	남자	37303.113.32 .30
선썬더볼트	겨루	퓨전	남자	101490.4995.124 .40
선귀한기사	주작(朱雀)	판타지	남자	2753915.33564.250 .30
일보신권	*시니어*	무협	남자	767427.1012.26 .40
패도환검	마하(摩訶)	무협	남자	4580.0.2 .50
이것이나의복수	황규영	무협	남자	108233.117.10 .50
악인참만인활(출간삭제)	귀수(鬼手)	무협	남자	127698.23.4 .40
삭월한애	허소문	무협	남자	1169245.1147.81 .50
마법의왕	창술의대가	판타지	남자	412656.1651.17 .40
별꽃바람달구름	운산자	무협	남자	1125265.3729.146 .50
와일드엠페러	흙마왕	판타지	남자	60438.18.18 .40
강남산성	건아성	일반소설	남자	851.5.1 .30
요마	묵성혼	무협	남자	3350.3.2 .30
